record_id,building_id,building_name,building_type,timestamp,electricity_kwh,water_m3,hvac_kwh,cooling_load_kwh,chilled_water_supply_temp_c,chilled_water_return_temp_c,environment_temp_c,humidity_rh,occupancy_density_per_100m2,equipment_id,equipment_status
R00027,BLD-D,科研实验楼D,lab,2026-01-01 06:00:00,412.4,11.05,136.05,432.9,6.4,11.3,1.5,40.7,54.1,FCU-D-04,normal
R00028,BLD-D,科研实验楼D,lab,2026-01-01 09:00:00,511.88,11.76,169.82,544.73,6.7,12.5,3.7,40.5,62.1,FCU-D-04,normal
R00029,BLD-D,科研实验楼D,lab,2026-01-01 12:00:00,461.33,11.48,152.06,490.69,7.4,12.5,7.0,52.9,81.0,FCU-D-04,normal
R00030,BLD-D,科研实验楼D,lab,2026-01-01 15:00:00,630.05,11.8,191.25,446.4,6.6,12.8,7.0,41.9,83.4,FCU-D-04,abnormal
R00031,BLD-D,科研实验楼D,lab,2026-01-01 18:00:00,437.91,11.55,146.1,470.73,7.5,12.0,4.3,43.4,93.3,FCU-D-04,normal
R00032,BLD-D,科研实验楼D,lab,2026-01-01 21:00:00,383.21,10.92,126.55,387.65,6.8,12.3,1.4,39.1,12.5,FCU-D-04,normal
R00033,BLD-A,综合教学楼A,teaching,2026-01-02 00:00:00,264.65,9.56,87.96,253.85,7.4,11.1,-1.1,40.3,3.6,AHU-A-01,normal
R00034,BLD-A,综合教学楼A,teaching,2026-01-02 03:00:00,267.54,9.57,88.93,255.27,7.3,11.4,-1.8,42.2,2.1,AHU-A-01,normal
R00035,BLD-A,综合教学楼A,teaching,2026-01-02 06:00:00,282.52,9.73,93.95,285.56,7.4,11.3,0.6,40.3,21.8,AHU-A-01,normal
R00036,BLD-A,综合教学楼A,teaching,2026-01-02 09:00:00,309.11,9.9,102.15,300.94,6.5,12.3,4.4,42.6,27.8,AHU-A-01,normal
R00037,BLD-A,综合教学楼A,teaching,2026-01-02 12:00:00,312.34,10.04,103.6,295.34,6.3,11.4,5.9,52.1,36.0,AHU-A-01,normal
R00038,BLD-A,综合教学楼A,teaching,2026-01-02 15:00:00,316.27,10.31,105.58,304.74,7.3,12.2,9.0,52.6,35.6,AHU-A-01,normal
R00039,BLD-A,综合教学楼A,teaching,2026-01-02 18:00:00,278.49,9.96,93.11,294.52,6.4,12.2,5.2,46.8,37.6,AHU-A-01,normal
R00040,BLD-A,综合教学楼A,teaching,2026-01-02 21:00:00,237.42,9.29,78.32,239.05,6.4,12.0,2.0,37.0,1.8,AHU-A-01,normal
R00041,BLD-B,行政办公楼B,office,2026-01-02 00:00:00,219.07,7.51,71.56,216.48,7.4,12.5,0.4,43.2,3.2,CH-B-02,normal
R00042,BLD-B,行政办公楼B,office,2026-01-02 03:00:00,234.05,7.61,76.74,241.26,7.0,11.4,-2.1,36.4,2.5,CH-B-02,normal
R00043,BLD-B,行政办公楼B,office,2026-01-02 06:00:00,248.53,7.8,81.65,232.85,7.3,12.6,1.0,40.7,20.1,CH-B-02,normal
R00044,BLD-B,行政办公楼B,office,2026-01-02 09:00:00,302.42,8.27,99.79,286.74,6.5,12.6,4.0,45.0,26.6,CH-B-02,normal
R00045,BLD-B,行政办公楼B,office,2026-01-02 12:00:00,287.8,8.28,95.0,277.85,6.2,12.4,7.6,51.9,32.4,CH-B-02,normal
R00046,BLD-B,行政办公楼B,office,2026-01-02 15:00:00,339.19,8.05,101.63,267.71,7.3,12.8,8.8,48.8,37.1,CH-B-02,abnormal
R00047,BLD-B,行政办公楼B,office,2026-01-02 18:00:00,243.38,7.96,80.36,237.83,7.4,12.4,5.7,38.3,47.6,CH-B-02,normal
R00048,BLD-B,行政办公楼B,office,2026-01-02 21:00:00,234.5,7.8,77.35,221.63,7.3,12.5,1.8,39.0,4.5,CH-B-02,normal
R00049,BLD-C,图书信息楼C,library,2026-01-02 00:00:00,350.21,8.97,112.72,355.53,6.3,10.9,-0.7,40.0,6.4,CT-C-03,normal
R00050,BLD-C,图书信息楼C,library,2026-01-02 03:00:00,331.5,8.69,105.88,311.01,7.0,11.7,-1.8,44.8,8.9,CT-C-03,normal
R00051,BLD-C,图书信息楼C,library,2026-01-02 06:00:00,354.63,8.95,113.66,366.84,6.3,12.7,1.6,48.3,36.8,CT-C-03,normal
R00052,BLD-C,图书信息楼C,library,2026-01-02 09:00:00,395.98,9.07,125.99,371.9,6.9,11.9,3.4,42.5,53.0,CT-C-03,normal
R00053,BLD-C,图书信息楼C,library,2026-01-02 12:00:00,404.92,9.34,129.86,366.29,7.4,11.9,6.6,42.2,60.6,CT-C-03,normal
R00054,BLD-C,图书信息楼C,library,2026-01-02 15:00:00,403.31,9.44,129.67,369.48,7.0,11.5,8.4,49.3,63.8,CT-C-03,normal
R00055,BLD-C,图书信息楼C,library,2026-01-02 18:00:00,355.54,9.12,114.49,337.73,6.6,11.7,4.5,47.2,70.8,CT-C-03,normal
R00056,BLD-C,图书信息楼C,library,2026-01-02 21:00:00,312.27,8.58,99.39,308.57,7.4,12.1,0.4,40.2,8.8,CT-C-03,normal
R00057,BLD-D,科研实验楼D,lab,2026-01-02 00:00:00,417.29,11.2,138.72,416.23,6.9,12.1,-0.6,35,9.4,FCU-D-04,normal
R00058,BLD-D,科研实验楼D,lab,2026-01-02 03:00:00,414.3,11.13,137.49,439.76,7.2,11.2,-1.2,36.2,10.2,FCU-D-04,normal
R00059,BLD-D,科研实验楼D,lab,2026-01-02 06:00:00,451.47,11.35,150.0,474.56,7.1,12.2,-0.6,42.4,54.0,FCU-D-04,normal
R00060,BLD-D,科研实验楼D,lab,2026-01-02 09:00:00,498.11,11.59,164.62,497.09,7.3,11.0,3.3,36.7,62.0,FCU-D-04,normal
R00061,BLD-D,科研实验楼D,lab,2026-01-02 12:00:00,504.73,11.91,168.0,508.63,6.4,12.1,6.7,41.4,78.8,FCU-D-04,normal
R00062,BLD-D,科研实验楼D,lab,2026-01-02 15:00:00,513.38,12.0,171.19,513.32,6.3,12.7,6.7,49.5,78.7,FCU-D-04,normal
R00063,BLD-D,科研实验楼D,lab,2026-01-02 18:00:00,389.48,11.01,128.38,386.63,7.2,12.2,5.0,41.0,95,FCU-D-04,normal
R00064,BLD-D,科研实验楼D,lab,2026-01-02 21:00:00,404.83,11.24,134.67,414.43,7.1,11.9,2.1,48.8,12.1,FCU-D-04,normal
R00065,BLD-A,综合教学楼A,teaching,2026-01-03 00:00:00,225.79,9.22,75.0,226.45,6.4,11.4,0.8,47.1,1.9,AHU-A-01,normal
R00066,BLD-A,综合教学楼A,teaching,2026-01-03 03:00:00,237.63,9.35,79.19,232.46,6.1,11.4,-0.7,40.8,1.8,AHU-A-01,normal
R00067,BLD-A,综合教学楼A,teaching,2026-01-03 06:00:00,240.03,9.23,79.43,231.71,7.0,12.2,-0.0,41.6,10.3,AHU-A-01,normal
R00068,BLD-A,综合教学楼A,teaching,2026-01-03 09:00:00,284.54,9.67,94.3,274.12,6.6,12.6,3.0,43.7,14.8,AHU-A-01,normal
R00069,BLD-A,综合教学楼A,teaching,2026-01-03 12:00:00,278.84,9.85,92.83,276.62,6.0,11.6,7.2,51.0,19.7,AHU-A-01,normal
R00070,BLD-A,综合教学楼A,teaching,2026-01-03 15:00:00,357.12,9.95,108.93,280.11,6.8,12.0,8.6,53.4,20.9,AHU-A-01,abnormal
R00071,BLD-A,综合教学楼A,teaching,2026-01-03 18:00:00,222.64,9.17,73.55,217.8,7.0,11.7,4.3,43.1,21.9,AHU-A-01,normal
R00072,BLD-A,综合教学楼A,teaching,2026-01-03 21:00:00,225.03,9.17,74.65,211.36,6.6,12.0,0.2,35.9,1.8,AHU-A-01,normal
R00073,BLD-B,行政办公楼B,office,2026-01-03 00:00:00,209.73,7.46,69.0,196.05,6.6,11.3,-1.1,35.1,2.1,CH-B-02,normal
R00074,BLD-B,行政办公楼B,office,2026-01-03 03:00:00,214.09,7.52,70.57,223.65,6.4,11.1,-1.4,38.3,2.5,CH-B-02,normal
R00075,BLD-B,行政办公楼B,office,2026-01-03 06:00:00,223.44,7.53,73.4,227.02,7.2,12.1,-0.7,47.5,13.4,CH-B-02,normal
R00076,BLD-B,行政办公楼B,office,2026-01-03 09:00:00,268.01,8.05,88.58,255.45,6.2,12.2,4.6,40.0,14.8,CH-B-02,normal
R00077,BLD-B,行政办公楼B,office,2026-01-03 12:00:00,232.38,7.68,75.93,219.47,6.9,12.3,7.2,48.8,21.7,CH-B-02,normal
R00078,BLD-B,行政办公楼B,office,2026-01-03 15:00:00,253.74,7.98,83.7,236.95,6.5,12.2,7.1,52.5,21.3,CH-B-02,normal
R00079,BLD-B,行政办公楼B,office,2026-01-03 18:00:00,198.83,7.46,65.16,202.66,6.9,11.1,6.1,48.3,24.2,CH-B-02,normal
R00080,BLD-B,行政办公楼B,office,2026-01-03 21:00:00,207.77,7.56,68.57,221.71,7.2,11.6,1.7,43.6,1.6,CH-B-02,normal
R00081,BLD-C,图书信息楼C,library,2026-01-03 00:00:00,319.96,8.65,102.27,324.89,7.2,11.1,-0.2,40.9,5.9,CT-C-03,normal
R00082,BLD-C,图书信息楼C,library,2026-01-03 03:00:00,331.05,8.79,106.26,319.1,7.1,12.7,0.1,45.7,7.1,CT-C-03,normal
R00083,BLD-C,图书信息楼C,library,2026-01-03 06:00:00,369.61,9.03,118.95,357.2,7.1,11.4,-0.1,41.5,37.6,CT-C-03,normal
R00084,BLD-C,图书信息楼C,library,2026-01-03 09:00:00,422.23,9.42,135.93,397.25,6.7,12.1,4.8,38.6,49.5,CT-C-03,normal
R00085,BLD-C,图书信息楼C,library,2026-01-03 12:00:00,365.3,8.95,116.07,337.64,7.2,11.5,6.7,50.6,48.1,CT-C-03,normal
R00086,BLD-C,图书信息楼C,library,2026-01-03 15:00:00,389.99,9.34,125.31,403.26,6.1,12.3,8.9,44.1,53.1,CT-C-03,normal
R00087,BLD-C,图书信息楼C,library,2026-01-03 18:00:00,341.65,9.0,109.87,332.48,7.2,11.1,5.0,47.2,67.9,CT-C-03,normal
R00088,BLD-C,图书信息楼C,library,2026-01-03 21:00:00,332.77,8.83,106.91,322.73,6.8,11.7,0.3,38.5,6.7,CT-C-03,normal
R00089,BLD-D,科研实验楼D,lab,2026-01-03 00:00:00,397.79,11.05,131.77,385.49,6.2,11.3,0.6,44.3,9.3,FCU-D-04,normal
R00090,BLD-D,科研实验楼D,lab,2026-01-03 03:00:00,423.87,11.19,140.88,410.08,6.7,12.3,-1.9,43.3,8.9,FCU-D-04,normal
R00091,BLD-D,科研实验楼D,lab,2026-01-03 06:00:00,438.65,11.36,145.76,422.94,6.3,11.2,1.6,39.1,50.2,FCU-D-04,normal
R00092,BLD-D,科研实验楼D,lab,2026-01-03 09:00:00,526.95,11.84,175.13,534.57,7.0,11.1,2.8,39.8,73.8,FCU-D-04,normal
R00093,BLD-D,科研实验楼D,lab,2026-01-03 12:00:00,622.0,11.81,188.83,467.46,6.7,11.3,7.9,51.7,76.8,FCU-D-04,abnormal
R00094,BLD-D,科研实验楼D,lab,2026-01-03 15:00:00,525.36,12.15,175.67,524.94,6.1,12.1,6.9,45.5,90.3,FCU-D-04,normal
R00095,BLD-D,科研实验楼D,lab,2026-01-03 18:00:00,401.76,11.09,132.66,429.49,6.2,12.4,3.9,44.6,91.3,FCU-D-04,normal
R00096,BLD-D,科研实验楼D,lab,2026-01-03 21:00:00,420.72,11.37,140.37,422.41,6.7,12.5,1.3,38.1,10.5,FCU-D-04,normal
R00097,BLD-A,综合教学楼A,teaching,2026-01-04 00:00:00,216.46,9.08,71.62,224.22,7.4,11.3,1.3,43.6,1.8,AHU-A-01,normal
R00098,BLD-A,综合教学楼A,teaching,2026-01-04 03:00:00,236.99,9.29,78.86,224.87,6.0,11.8,-1.6,35.1,1.1,AHU-A-01,normal
R00099,BLD-A,综合教学楼A,teaching,2026-01-04 06:00:00,236.42,9.21,78.2,243.61,6.7,12.2,0.8,37.8,13.3,AHU-A-01,normal
R00100,BLD-A,综合教学楼A,teaching,2026-01-04 09:00:00,291.39,9.91,97.14,312.04,6.6,11.9,5.1,46.3,16.1,AHU-A-01,normal
R00101,BLD-A,综合教学楼A,teaching,2026-01-04 12:00:00,286.29,9.98,95.61,276.29,6.5,12.3,7.4,50.8,16.0,AHU-A-01,normal
R00102,BLD-A,综合教学楼A,teaching,2026-01-04 15:00:00,258.99,9.6,85.66,266.74,7.4,11.9,8.2,41.5,22.3,AHU-A-01,normal
R00103,BLD-A,综合教学楼A,teaching,2026-01-04 18:00:00,215.48,9.08,71.01,209.86,6.4,11.1,5.1,38.1,24.0,AHU-A-01,normal
R00104,BLD-A,综合教学楼A,teaching,2026-01-04 21:00:00,230.57,9.39,76.92,249.21,7.0,11.4,2.2,43.6,2.2,AHU-A-01,normal
R00105,BLD-B,行政办公楼B,office,2026-01-04 00:00:00,212.8,7.52,70.14,224.77,6.3,12.0,-1.0,39.9,2.4,CH-B-02,normal
R00106,BLD-B,行政办公楼B,office,2026-01-04 03:00:00,203.88,7.39,66.92,198.09,7.0,12.5,-0.6,35,2.0,CH-B-02,normal
R00107,BLD-B,行政办公楼B,office,2026-01-04 06:00:00,225.6,7.6,74.29,234.87,6.8,11.8,0.2,38.2,16.5,CH-B-02,normal
R00108,BLD-B,行政办公楼B,office,2026-01-04 09:00:00,248.86,7.74,81.46,247.32,7.5,12.1,3.6,50.1,16.8,CH-B-02,normal
R00109,BLD-B,行政办公楼B,office,2026-01-04 12:00:00,239.19,7.78,78.41,246.03,6.9,12.3,7.2,41.7,19.6,CH-B-02,normal
R00110,BLD-B,行政办公楼B,office,2026-01-04 15:00:00,243.2,7.85,79.9,248.75,6.2,12.7,7.4,52.2,23.0,CH-B-02,normal
R00111,BLD-B,行政办公楼B,office,2026-01-04 18:00:00,196.56,7.38,64.25,196.08,6.1,12.8,5.3,39.9,26.7,CH-B-02,normal
R00112,BLD-B,行政办公楼B,office,2026-01-04 21:00:00,195.6,7.38,64.17,194.4,7.1,11.9,2.1,37.1,2.7,CH-B-02,normal
R00113,BLD-C,图书信息楼C,library,2026-01-04 00:00:00,343.14,8.91,110.47,337.11,6.6,12.7,-0.5,47.4,5.5,CT-C-03,normal
R00114,BLD-C,图书信息楼C,library,2026-01-04 03:00:00,347.11,8.93,111.82,352.44,6.6,12.7,-0.9,45.5,5.7,CT-C-03,normal
R00115,BLD-C,图书信息楼C,library,2026-01-04 06:00:00,366.72,9.04,118.04,361.98,7.5,11.8,0.6,38.4,35.4,CT-C-03,normal
R00116,BLD-C,图书信息楼C,library,2026-01-04 09:00:00,414.71,9.25,132.92,405.17,6.7,11.5,3.2,41.1,45.5,CT-C-03,normal
R00117,BLD-C,图书信息楼C,library,2026-01-04 12:00:00,518.99,9.34,152.42,393.41,6.1,12.3,6.3,46.4,48.7,CT-C-03,abnormal
R00118,BLD-C,图书信息楼C,library,2026-01-04 15:00:00,397.84,9.41,128.04,405.21,7.5,11.8,8.6,45.4,61.1,CT-C-03,normal
R00119,BLD-C,图书信息楼C,library,2026-01-04 18:00:00,334.31,8.85,107.09,341.31,6.7,11.9,4.0,45.1,70.6,CT-C-03,normal
R00120,BLD-C,图书信息楼C,library,2026-01-04 21:00:00,331.0,8.84,106.39,306.92,6.7,12.7,1.0,40.4,6.9,CT-C-03,normal
R00121,BLD-D,科研实验楼D,lab,2026-01-04 00:00:00,424.21,11.3,141.33,449.15,7.3,11.6,-0.3,42.9,11.9,FCU-D-04,normal
R00122,BLD-D,科研实验楼D,lab,2026-01-04 03:00:00,432.1,11.32,144.02,408.29,6.1,12.1,-1.4,43.7,12.0,FCU-D-04,normal
R00123,BLD-D,科研实验楼D,lab,2026-01-04 06:00:00,468.41,11.7,156.75,448.51,7.0,12.6,1.6,45.6,55.6,FCU-D-04,normal
R00124,BLD-D,科研实验楼D,lab,2026-01-04 09:00:00,530.64,11.96,176.79,557.68,6.4,11.6,3.9,49.4,58.8,FCU-D-04,normal
R00125,BLD-D,科研实验楼D,lab,2026-01-04 12:00:00,501.42,11.84,166.64,481.81,6.1,12.6,6.2,46.3,80.3,FCU-D-04,normal
R00126,BLD-D,科研实验楼D,lab,2026-01-04 15:00:00,464.85,11.62,153.74,463.33,6.4,11.4,8.4,52.7,79.3,FCU-D-04,normal
R00127,BLD-D,科研实验楼D,lab,2026-01-04 18:00:00,441.69,11.56,147.4,425.45,6.7,11.6,3.9,49.3,95,FCU-D-04,normal
R00128,BLD-D,科研实验楼D,lab,2026-01-04 21:00:00,411.89,11.27,137.12,435.34,6.3,11.6,1.3,40.9,9.2,FCU-D-04,normal
R00129,BLD-A,综合教学楼A,teaching,2026-01-05 00:00:00,247.54,9.35,81.8,264.79,6.4,12.8,0.1,42.1,2.9,AHU-A-01,normal
R00130,BLD-A,综合教学楼A,teaching,2026-01-05 03:00:00,250.95,9.38,82.98,259.97,6.1,12.1,-0.5,41.6,3.2,AHU-A-01,normal
R00131,BLD-A,综合教学楼A,teaching,2026-01-05 06:00:00,293.5,9.91,98.01,301.39,6.5,12.1,0.7,38.5,23.7,AHU-A-01,normal
R00132,BLD-A,综合教学楼A,teaching,2026-01-05 09:00:00,328.94,10.18,109.48,347.29,6.9,12.6,4.5,47.2,27.7,AHU-A-01,normal
R00133,BLD-A,综合教学楼A,teaching,2026-01-05 12:00:00,298.36,9.94,98.72,308.75,6.1,11.5,7.5,45.4,32.2,AHU-A-01,normal
R00134,BLD-A,综合教学楼A,teaching,2026-01-05 15:00:00,286.71,9.86,94.65,305.52,6.8,12.6,8.8,42.0,37.1,AHU-A-01,normal
R00135,BLD-A,综合教学楼A,teaching,2026-01-05 18:00:00,248.18,9.51,82.04,259.15,7.1,11.5,6.0,49.7,41.8,AHU-A-01,normal
R00136,BLD-A,综合教学楼A,teaching,2026-01-05 21:00:00,274.05,9.79,91.59,291.38,7.1,12.8,0.2,36.1,3.9,AHU-A-01,normal
R00137,BLD-B,行政办公楼B,office,2026-01-05 00:00:00,235.93,7.8,77.81,219.89,6.8,11.8,1.3,40.0,4.5,CH-B-02,normal
R00138,BLD-B,行政办公楼B,office,2026-01-05 03:00:00,237.08,7.74,78.04,250.89,6.2,11.3,-0.4,41.9,4.6,CH-B-02,normal
R00139,BLD-B,行政办公楼B,office,2026-01-05 06:00:00,265.72,7.96,87.74,255.59,6.1,12.5,-0.5,41.5,28.2,CH-B-02,normal
R00140,BLD-B,行政办公楼B,office,2026-01-05 09:00:00,275.87,7.99,90.27,290.43,6.5,11.8,5.1,43.3,26.5,CH-B-02,normal
R00141,BLD-B,行政办公楼B,office,2026-01-05 12:00:00,377.57,8.3,113.96,290.02,7.1,12.7,6.2,40.2,34.6,CH-B-02,abnormal
R00142,BLD-B,行政办公楼B,office,2026-01-05 15:00:00,281.42,8.22,92.73,265.36,6.7,11.7,8.0,41.8,39.5,CH-B-02,normal
R00143,BLD-B,行政办公楼B,office,2026-01-05 18:00:00,213.29,7.54,69.46,223.6,7.3,11.1,6.3,43.6,45.0,CH-B-02,normal
R00144,BLD-B,行政办公楼B,office,2026-01-05 21:00:00,226.52,7.67,74.42,222.3,6.3,11.1,1.6,48.8,3.4,CH-B-02,normal
R00145,BLD-C,图书信息楼C,library,2026-01-05 00:00:00,325.14,8.76,104.07,319.58,6.0,12.4,1.0,44.0,7.7,CT-C-03,normal
R00146,BLD-C,图书信息楼C,library,2026-01-05 03:00:00,319.89,8.58,101.82,319.84,6.3,11.3,-1.4,40.9,5.5,CT-C-03,normal
R00147,BLD-C,图书信息楼C,library,2026-01-05 06:00:00,344.08,8.83,109.9,310.06,7.3,11.2,1.6,37.2,47.4,CT-C-03,normal
R00148,BLD-C,图书信息楼C,library,2026-01-05 09:00:00,405.15,9.15,129.24,365.85,6.0,12.4,3.3,38.8,52.0,CT-C-03,normal
R00149,BLD-C,图书信息楼C,library,2026-01-05 12:00:00,390.92,9.19,124.85,390.98,6.8,12.3,6.5,41.0,51.7,CT-C-03,normal
R00150,BLD-C,图书信息楼C,library,2026-01-05 15:00:00,407.2,9.46,130.99,397.11,7.4,11.0,8.1,46.9,60.3,CT-C-03,normal
R00151,BLD-C,图书信息楼C,library,2026-01-05 18:00:00,349.75,9.13,112.66,363.3,6.1,11.8,5.8,45.4,72.9,CT-C-03,normal
R00152,BLD-C,图书信息楼C,library,2026-01-05 21:00:00,336.51,8.89,108.1,308.18,6.1,12.1,0.9,41.5,8.7,CT-C-03,normal
R00153,BLD-D,科研实验楼D,lab,2026-01-05 00:00:00,402.63,11.01,133.24,393.94,7.5,11.9,-0.9,42.2,10.6,FCU-D-04,normal
R00154,BLD-D,科研实验楼D,lab,2026-01-05 03:00:00,422.42,11.24,140.55,446.69,7.0,12.4,-0.9,35,11.3,FCU-D-04,normal
R00155,BLD-D,科研实验楼D,lab,2026-01-05 06:00:00,421.5,11.13,139.34,412.78,6.7,11.7,1.2,41.2,52.3,FCU-D-04,normal
R00156,BLD-D,科研实验楼D,lab,2026-01-05 09:00:00,515.91,11.76,171.17,493.66,7.4,11.0,3.2,45.6,64.1,FCU-D-04,normal
R00157,BLD-D,科研实验楼D,lab,2026-01-05 12:00:00,457.38,11.51,150.88,476.91,6.8,12.0,8.0,41.0,79.5,FCU-D-04,normal
R00158,BLD-D,科研实验楼D,lab,2026-01-05 15:00:00,471.75,11.69,156.26,484.33,7.1,12.5,8.3,41.5,82.7,FCU-D-04,normal
R00159,BLD-D,科研实验楼D,lab,2026-01-05 18:00:00,440.0,11.68,147.18,450.77,6.3,12.1,5.7,46.4,92.1,FCU-D-04,normal
R00160,BLD-D,科研实验楼D,lab,2026-01-05 21:00:00,385.25,10.89,127.12,399.19,6.9,12.4,0.5,46.2,9.8,FCU-D-04,normal
R00161,BLD-A,综合教学楼A,teaching,2026-01-06 00:00:00,271.11,9.8,90.63,280.03,6.0,12.7,1.1,46.2,3.0,AHU-A-01,normal
R00162,BLD-A,综合教学楼A,teaching,2026-01-06 03:00:00,249.0,9.37,82.33,242.85,6.5,10.9,0.0,36.5,3.3,AHU-A-01,normal
R00163,BLD-A,综合教学楼A,teaching,2026-01-06 06:00:00,276.55,9.7,91.89,283.56,6.0,12.3,1.6,40.7,17.8,AHU-A-01,normal
R00164,BLD-A,综合教学楼A,teaching,2026-01-06 09:00:00,321.16,10.01,106.46,332.48,7.2,12.0,3.6,41.3,25.1,AHU-A-01,normal
R00165,BLD-A,综合教学楼A,teaching,2026-01-06 12:00:00,374.08,9.78,112.62,286.75,6.4,12.2,6.3,40.6,32.6,AHU-A-01,abnormal
R00166,BLD-A,综合教学楼A,teaching,2026-01-06 15:00:00,301.01,10.03,99.82,286.26,6.6,11.4,8.2,43.6,39.0,AHU-A-01,normal
R00167,BLD-A,综合教学楼A,teaching,2026-01-06 18:00:00,257.83,9.65,85.56,255.48,6.9,10.9,5.7,47.3,37.9,AHU-A-01,normal
R00168,BLD-A,综合教学楼A,teaching,2026-01-06 21:00:00,244.23,9.34,80.67,238.61,6.0,12.3,0.8,36.5,2.1,AHU-A-01,normal
R00169,BLD-B,行政办公楼B,office,2026-01-06 00:00:00,227.65,7.59,74.59,236.45,7.2,11.0,-0.5,43.5,3.8,CH-B-02,normal
R00170,BLD-B,行政办公楼B,office,2026-01-06 03:00:00,214.63,7.43,69.91,222.45,6.9,12.0,0.1,35,4.8,CH-B-02,normal
