question_id,question,question_type,expected_sources,expected_keywords,expected_answer_points,demo_priority,eval_id_ref,difficulty,requires_data_lookup
QE-011,AHU空气处理机怎么保养？,advisory,"knowledge_base/manuals/equipment_maintenance_playbook.md","AHU,AHU-A-01,空气处理机,过滤器,皮带,保养,日检,周检,月检","日检风量;周清过滤器;月检皮带和传动部件;季度全面保养",medium,,easy,false
QE-012,办公楼能耗为什么比图书馆低？,analytical,"knowledge_base/manuals/building_type_notes.md","办公楼,BLD-B,图书馆,BLD-C,224.6,304.3,下班,夜间自习,运营时间","办公楼有明确下班时间非工时设备关停;图书馆夜间仍有自习HVAC不能完全关停;电耗差异约79.7kWh/3h",medium,AE-11,medium,false
QE-013,系统能预测明天的用电量吗？,boundary,"","预测,不支持,历史均值,当前能力","当前系统不支持用电预测;可参考历史均值作为参考基准;预测功能属于未来增强方向",medium,AE-12,easy,false
QE-014,样例数据是真实采集的吗？,boundary,"data/processed/external_source_shortlist_round1.md,docs/10-data-source-research.md","模拟数据,合成数据,BDG2,SHIFDR,NYC LL84,真实口径","当前数据为结构化模拟数据非直接采集;字段设计参考BDG2/SHIFDR/NYC LL84真实数据口径;策略是真实参考+项目需求自主合成",medium,AE-05,easy,false
QE-015,ΔT冷冻水供回温差正常范围是多少？,factual,"knowledge_base/glossary/metrics_and_rules.md","ΔT,温差,4-6°C,冷冻水,chilled_water_supply_temp_c,chilled_water_return_temp_c,小温差,3°C","正常范围4-6°C;ΔT<3°C为小温差大流量(阀门开度过大);ΔT>8°C提示水量不足",medium,AE-04,easy,false
QE-016,各建筑的主要设备分别是什么？,factual,"knowledge_base/manuals/equipment_maintenance_playbook.md,knowledge_base/glossary/metrics_and_rules.md","AHU-A-01,CH-B-02,CT-C-03,FCU-D-04,空气处理机,冷水机组,冷却塔,风机盘管","BLD-A:AHU-A-01空气处理机;BLD-B:CH-B-02冷水机组;BLD-C:CT-C-03冷却塔;BLD-D:FCU-D-04风机盘管",medium,AE-06,easy,false
QE-017,节假日期间建筑用电量有什么变化？,boundary,"data/processed/round2_dataset_upgrade_plan.md","节假日,当前数据,无标记,人员密度,HVAC,降低","当前数据集无节假日标记字段无法直接回答;节假日通常人员密度下降HVAC负荷降低;这是第二轮数据增强的重点方向",medium,AE-15,medium,false
QE-018,如何根据COP趋势判断设备性能衰退？,analytical,"knowledge_base/glossary/metrics_and_rules.md,knowledge_base/manuals/anomaly_diagnosis_guide.md","COP趋势,性能衰退,时序,hvac_kwh,cooling_load_kwh,持续低COP","COP持续低于正常均值3.01且无外部原因(气温正常)提示性能衰退;建议连续3次告警即触发维修评估;可通过时序图观察",low,,hard,true
QE-019,系统支持哪些类型的能耗分析？,factual,"knowledge_base/faq/qa_bank_round1.md,docs/03-user-manual.md","分析功能,建筑对比,COP分析,异常检测,时序分析,统计","支持:建筑对比分析/COP效率分析/异常记录检测/时序趋势分析/CSV数据导出",medium,,medium,false
QE-020,实验楼电耗超标怎么处理？,advisory,"knowledge_base/manuals/building_type_notes.md,knowledge_base/manuals/anomaly_diagnosis_guide.md","实验楼,BLD-D,FCU-D-04,电耗超标,节能建议,分时排课","检查FCU-D-04风机盘管洁净度;建议分时排课/实验错峰;核查实验设备是否按时关停;告警阈值:electricity>450kWh/3h",low,,medium,false
